layers,neurons,lr,batch_size,epoch,dropout_rate,loss,accuracy,precision,recall,auc_pr,auc_roc
1,8,0.01,128,40,0.1,0.02538301795721054,0.9934210777282715,0.991239070892334,1.0,0.9996647238731384,0.9990624189376831
1,8,0.01,128,50,0.1,0.026413703337311745,0.9934210777282715,0.991239070892334,1.0,0.9997996091842651,0.9994290471076965
1,8,0.01,128,50,0.2,0.027799144387245178,0.9934210777282715,0.991239070892334,1.0,0.9996708631515503,0.9990739822387695
1,8,0.01,32,20,0.1,0.03110879473388195,0.9934210777282715,0.991239070892334,1.0,0.998370349407196,0.9972938299179077
1,8,0.01,32,30,0.1,0.023186974227428436,0.9953007698059082,0.9937264919281006,1.0,0.9985167384147644,0.9977371096611023
1,8,0.01,32,40,0.1,0.026791058480739594,0.9943609237670898,0.9924812316894531,1.0,0.9983399510383606,0.9972984194755554
1,8,0.01,32,40,0.3,0.02886524610221386,0.99154132604599,0.9887640476226807,1.0,0.9996685981750488,0.9990670084953308
1,8,0.01,32,50,0.2,0.0277181938290596,0.9943609237670898,0.9924812316894531,1.0,0.9983735680580139,0.9973471760749817
1,8,0.01,32,50,0.3,0.030303599312901497,0.99154132604599,0.9887640476226807,1.0,0.9984438419342041,0.9975281357765198
1,8,0.01,64,40,0.1,0.024658309295773506,0.9934210777282715,0.991239070892334,1.0,0.9984527826309204,0.9975699782371521
1,8,0.01,64,40,0.3,0.030939307063817978,0.9943609237670898,0.9924812316894531,1.0,0.9972264766693115,0.9958803057670593
1,8,0.01,64,50,0.2,0.02475917339324951,0.9924812316894531,0.9900000095367432,1.0,0.9998006820678711,0.9994383454322815
1,10,0.01,128,40,0.1,0.025680458173155785,0.9943609237670898,0.9924812316894531,1.0,0.9983808398246765,0.9974352717399597
1,10,0.01,128,40,0.3,0.03353158384561539,0.9943609237670898,0.9924812316894531,1.0,0.9971469044685364,0.9956991672515869
1,10,0.01,128,50,0.1,0.022781601175665855,0.9934210777282715,0.991239070892334,1.0,0.9985138773918152,0.9977300763130188
1,10,0.01,128,50,0.3,0.028244301676750183,0.9943609237670898,0.9924812316894531,1.0,0.9971943497657776,0.9958407282829285
1,10,0.01,32,20,0.2,0.02894657664000988,0.9943609237670898,0.9924812316894531,1.0,0.997086226940155,0.9956458806991577
1,10,0.01,32,30,0.2,0.025123823434114456,0.9934210777282715,0.991239070892334,1.0,0.9984116554260254,0.9974514842033386
1,10,0.01,32,30,0.3,0.02386525273323059,0.9924812316894531,0.9900000095367432,1.0,0.9985837340354919,0.9978623390197754
1,10,0.01,32,40,0.1,0.02243123948574066,0.9953007698059082,0.9937264919281006,1.0,0.9985631108283997,0.9978322386741638
1,10,0.01,32,50,0.1,0.02798769436776638,0.9953007698059082,0.9937264919281006,1.0,0.9984740018844604,0.9975560903549194
1,10,0.01,32,50,0.2,0.025316176936030388,0.9943609237670898,0.9924812316894531,1.0,0.9997062087059021,0.9991667866706848
1,10,0.01,64,20,0.1,0.027251306921243668,0.9943609237670898,0.9924812316894531,1.0,0.9971045851707458,0.9957153797149658
1,10,0.01,64,30,0.1,0.02476370334625244,0.9934210777282715,0.991239070892334,1.0,0.999742865562439,0.9992735981941223
1,10,0.01,64,30,0.3,0.03397178649902344,0.9934210777282715,0.991239070892334,1.0,0.9971221685409546,0.9956295490264893
1,10,0.01,64,40,0.2,0.023276379331946373,0.9924812316894531,0.9900000095367432,1.0,0.9998559951782227,0.9995846152305603
1,10,0.01,64,50,0.1,0.028541740030050278,0.9953007698059082,0.9937264919281006,1.0,0.9972114562988281,0.9958524703979492
1,10,0.01,64,50,0.3,0.02803916111588478,0.99154132604599,0.9887640476226807,1.0,0.9998412132263184,0.9995428323745728
1,16,0.01,128,30,0.1,0.02666080929338932,0.9953007698059082,0.9937264919281006,1.0,0.9971425533294678,0.9957457780838013
1,16,0.01,128,40,0.1,0.02938683144748211,0.9943609237670898,0.9924812316894531,1.0,0.9970784187316895,0.9956923127174377
1,16,0.01,128,40,0.2,0.03091583400964737,0.9953007698059082,0.9937264919281006,1.0,0.9969961643218994,0.9954206943511963
1,16,0.01,128,50,0.1,0.025501271709799767,0.9943609237670898,0.9924812316894531,1.0,0.9984791278839111,0.9976210594177246
1,16,0.01,128,50,0.2,0.02537873573601246,0.9943609237670898,0.9924812316894531,1.0,0.998515248298645,0.9976999759674072
1,16,0.01,128,50,0.3,0.024425242096185684,0.9934210777282715,0.991239070892334,1.0,0.9997787475585938,0.9993709921836853
1,16,0.01,32,20,0.1,0.026357293128967285,0.9943609237670898,0.9924812316894531,1.0,0.9972347021102905,0.995903491973877
1,16,0.01,32,20,0.3,0.030825722962617874,0.9924812316894531,0.9900000095367432,1.0,0.9983595013618469,0.9972890615463257
1,16,0.01,32,30,0.2,0.03161211311817169,0.99154132604599,0.9887640476226807,1.0,0.997219443321228,0.9958175420761108
1,16,0.01,32,30,0.3,0.021725023165345192,0.9943609237670898,0.9924812316894531,1.0,0.9998897314071655,0.9996821284294128
1,16,0.01,32,40,0.2,0.025808211416006088,0.9943609237670898,0.9924812316894531,1.0,0.9972465634346008,0.9958919286727905
1,16,0.01,32,40,0.3,0.031156862154603004,0.9924812316894531,0.9900000095367432,1.0,0.9983677864074707,0.9972845315933228
1,16,0.01,32,50,0.1,0.02992667630314827,0.9934210777282715,0.991239070892334,1.0,0.9971837997436523,0.9958593249320984
1,16,0.01,32,50,0.2,0.028255222365260124,0.9943609237670898,0.9924812316894531,1.0,0.9972809553146362,0.9959754347801208
1,16,0.01,32,50,0.3,0.029526008293032646,0.9943609237670898,0.9924812316894531,1.0,0.9972382187843323,0.995903491973877
1,16,0.01,64,20,0.1,0.027414124459028244,0.9934210777282715,0.991239070892334,1.0,0.9983853101730347,0.9973703026771545
1,16,0.01,64,30,0.1,0.030434895306825638,0.9953007698059082,0.9937264919281006,1.0,0.9957241415977478,0.9937589168548584
1,16,0.01,64,30,0.2,0.025268597528338432,0.9934210777282715,0.991239070892334,1.0,0.999710202217102,0.9991830587387085
1,16,0.01,64,30,0.3,0.02825860306620598,0.99154132604599,0.9887640476226807,1.0,0.9985107779502869,0.9976674318313599
1,16,0.01,64,40,0.2,0.03270115330815315,0.9934210777282715,0.991239070892334,1.0,0.9970629215240479,0.9954973459243774
1,16,0.01,64,40,0.3,0.0253272857517004,0.9924812316894531,0.9900000095367432,1.0,0.9985316395759583,0.9977185130119324
1,16,0.01,64,50,0.3,0.025406884029507637,0.9924812316894531,0.9900000095367432,1.0,0.9998533129692078,0.9995775818824768
1,32,0.01,128,20,0.1,0.02983779087662697,0.9953007698059082,0.9937264919281006,1.0,0.9969658851623535,0.9954880475997925
1,32,0.01,128,20,0.2,0.02537071704864502,0.9953007698059082,0.9937264919281006,1.0,0.9984753727912903,0.9976280331611633
1,32,0.01,128,20,0.3,0.028780406340956688,0.9924812316894531,0.9900000095367432,1.0,0.9984827041625977,0.9976233243942261
1,32,0.01,128,30,0.1,0.02311815321445465,0.9943609237670898,0.9924812316894531,1.0,0.99849534034729,0.9976790547370911
1,32,0.01,128,30,0.3,0.02561766840517521,0.9943609237670898,0.9924812316894531,1.0,0.9984771609306335,0.9975908398628235
1,32,0.01,128,40,0.1,0.03070882149040699,0.9924812316894531,0.9900000095367432,1.0,0.9971853494644165,0.9958269596099854
1,32,0.01,128,40,0.2,0.02551557682454586,0.9953007698059082,0.9937264919281006,1.0,0.9971575736999512,0.9957526922225952
1,32,0.01,128,50,0.2,0.0287263635545969,0.9953007698059082,0.9937264919281006,1.0,0.9972734451293945,0.9960055947303772
1,32,0.01,128,50,0.3,0.028468986973166466,0.9953007698059082,0.9937264919281006,1.0,0.9972016215324402,0.9958245754241943
1,32,0.01,32,20,0.3,0.027428865432739258,0.9953007698059082,0.9937264919281006,1.0,0.9972025156021118,0.9958059787750244
1,32,0.01,32,30,0.1,0.0423421785235405,0.9953007698059082,0.9937264919281006,1.0,0.9957724809646606,0.9938052892684937
1,32,0.01,32,40,0.1,0.06535863876342773,0.9924812316894531,0.9900000095367432,1.0,0.9960358142852783,0.9941372275352478
1,32,0.01,32,40,0.2,0.029941178858280182,0.9943609237670898,0.9924812316894531,1.0,0.9972197413444519,0.9958826303482056
1,32,0.01,32,40,0.3,0.02880101278424263,0.9934210777282715,0.991239070892334,1.0,0.9971912503242493,0.9958756566047668
1,32,0.01,32,50,0.3,0.023017102852463722,0.9943609237670898,0.9924812316894531,1.0,0.9984931945800781,0.9976257085800171
1,32,0.01,64,20,0.1,0.0275319404900074,0.9934210777282715,0.991239070892334,1.0,0.9971784949302673,0.995838463306427
1,32,0.01,64,20,0.2,0.026568874716758728,0.9943609237670898,0.9924812316894531,1.0,0.9971346259117126,0.9957294464111328
1,32,0.01,64,20,0.3,0.02746177650988102,0.9943609237670898,0.9924812316894531,1.0,0.9971776008605957,0.9958362579345703
1,32,0.01,64,30,0.2,0.03138601407408714,0.9934210777282715,0.991239070892334,1.0,0.997199296951294,0.9958245754241943
1,32,0.01,64,30,0.3,0.030551200732588768,0.9953007698059082,0.9937264919281006,1.0,0.9972389340400696,0.9958803653717041
1,32,0.01,64,40,0.2,0.0315493680536747,0.9943609237670898,0.9924812316894531,1.0,0.9971728324890137,0.9957758784294128
1,32,0.01,64,50,0.2,0.032884757965803146,0.9953007698059082,0.9937264919281006,1.0,0.997166633605957,0.9956852793693542
1,32,0.001,32,40,0.2,0.03036322258412838,0.9943609237670898,0.9924812316894531,1.0,0.9969210028648376,0.9953789710998535
1,32,0.001,32,50,0.2,0.028276652097702026,0.9943609237670898,0.9924812316894531,1.0,0.9983888864517212,0.9974307417869568
2,8,0.01,128,30,0.3,0.036911994218826294,0.99154132604599,0.9887640476226807,1.0,0.997196614742279,0.9957851767539978
